date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
14.08.2011;3;2;2;3;4;4;2;2;;;;;;;;;17;14;20;27;29;28;23;20;;;;;;;;;;;;5;58;56;90;93
15.08.2011;2;2;3;4;5;4;2;3;;;;;;;;;17;16;20;27;31;31;25;23;;;;;;;;;91;76;21;25;6;16;100;100
16.08.2011;3;4;6;5;5;4;3;3;;;;;;;;;21;16;17;19;21;21;16;12;;;;;;;;;100;66;;12;11;33;78;84
17.08.2011;2;2;1;2;2;2;2;2;;;;;;;;;9;8;12;17;19;19;12;10;;;;;;;;;24;13;;;;;;
18.08.2011;2;2;2;2;2;1;2;1;;;;;;;;;7;6;10;16;19;19;11;9;;;;;;;;;;;;;;;14;20
19.08.2011;1;2;2;2;2;2;1;2;;;;;;;;;8;10;13;18;19;19;13;11;;;;;;;;;55;61;74;58;25;50;81;68
20.08.2011;3;3;3;2;2;3;3;2;;;;;;;;;8;8;9;15;17;17;11;9;;;;;;;;;59;62;50;27;24;34;50;70
21.08.2011;2;2;3;3;2;2;2;2;;;;;;;;;9;8;10;14;16;16;10;7;;;;;;;;;100;99;74;79;90;87;22;11
22.08.2011;2;1;1;2;3;3;3;2;;;;;;;;;7;5;9;16;19;18;13;10;;;;;;;;;48;51;23;20;10;29;88;91
23.08.2011;2;3;3;4;4;4;3;4;;;;;;;;;10;9;9;10;10;10;8;8;2.1;3.7;3;1.8;1.3;1.9;1.2;0.3;99;99;100;100;100;100;100;100
24.08.2011;4;4;5;5;4;4;3;3;;;;;;;;;6;4;6;11;11;12;7;4;;;;;;;;;91;67;;5;81;72;35;29
25.08.2011;3;3;3;4;4;4;3;3;;;;;;;;;3;2;6;11;12;12;6;4;;;;;0.4;0.8;;;21;32;66;58;61;51;14;28
26.08.2011;3;3;3;4;3;3;3;3;;;;;;;;;3;3;6;11;12;14;10;7;;;;;;;;;78;81;89;92;98;85;46;36
27.08.2011;3;3;3;3;3;3;2;3;;;;;;;;;4;4;7;14;17;17;10;10;;;;;;;;;19;14;5;6;;;51;66
28.08.2011;3;3;2;2;1;2;1;1;;;;;;;;;8;7;9;14;16;15;9;7;;0.3;0.7;0.4;0.5;0.5;0.3;;68;68;98;96;79;68;27;29
29.08.2011;2;3;3;2;2;2;3;4;;;;;;;;;8;6;8;15;17;17;12;10;;;;;;;;;41;24;;;11;16;58;55
30.08.2011;4;4;4;5;5;5;4;4;;;;;;;;;9;10;12;20;24;24;18;16;;;1.2;;;;;;31;24;30;19;;;;7
